"source_id","n_rows_whole","n_rows_particles","pmcid","link","license","verification_sources","citation"
"SRC_0029","2","0","","https://doi.org/10.3389/fddev.2022.945459","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Inhalable Composite Microparticles Containing siRNA-Loaded Lipid-Polymer Hybrid Nanoparticles: Saccharides and Leucine Preserve Aerosol Performance and Long-Term Physical Stability. You Xu et al. (2022). Frontiers in Drug Delivery."
"SRC_0030","4","0","","https://doi.org/10.3389/fddev.2022.973599","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Optimizing the design and dosing of dry powder inhaler formulations of the cationic liposome adjuvant CAF®01 for pulmonary immunization. Aneesh Thakur et al. (2022). Frontiers in Drug Delivery."
"SRC_0031","1","0","PMC8955190","https://doi.org/10.3390/ph15030321","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Novel Fluticasone Propionate and Salmeterol Fixed-Dose Combination Nano-Encapsulated Particles Using Polyamide Based on L-Lysine. Mohammad H. Alyami et al. (2022). Pharmaceuticals."
"SRC_0032","8","0","PMC9610629","https://doi.org/10.3390/ph15101223","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Stability of Inhaled Ciprofloxacin-Loaded Poly(2-ethyl-2-oxazoline) Nanoparticle Dry Powder Inhaler Formulation in High Stressed Conditions. Mohammad Zaidur Rahman Sabuj et al. (2022). Pharmaceuticals."
"SRC_0033","7","1","PMC8876093","https://doi.org/10.3390/pharmaceutics14020300","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Rational Development of a Carrier-Free Dry Powder Inhalation Formulation for Respiratory Viral Infections via Quality by Design: A Drug-Drug Cocrystal of Favipiravir and Theophylline. Si Nga Wong et al. (2022). Pharmaceutics."
"SRC_0034","4","28","","https://doi.org/10.1016/j.ijpharm.2023.122702","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Role of dispersion enhancer selection in the development of novel tratinterol hydrochloride dry powder inhalation formulations. Tingting Liu et al. (2023). International Journal of Pharmaceutics."
"SRC_0035","3","0","","https://doi.org/10.1016/j.ejpb.2023.06.018","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Spray dried progesterone formulations for carrier free dry powder inhalation. Thomas Hibbard et al. (2023). European Journal of Pharmaceutics and Biopharmaceutics."
"SRC_0036","6","23","PMC10386112","https://doi.org/10.3390/mi14071348","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Investigation of Physico-Chemical Stability and Aerodynamic Properties of Novel “Nano-in-Micro” Structured Dry Powder Inhaler System. Petra Party et al. (2023). Micromachines."
"SRC_0037","5","20","PMC9966768","https://doi.org/10.3390/pharmaceutics15020674","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Impact of Leucine and Magnesium Stearate on the Physicochemical Properties and Aerosolization Behavior of Wet Milled Inhalable Ibuprofen Microparticles for Developing Dry Powder Inhaler Formulation. Shahjabeen Sharif et al. (2023). Pharmaceutics."
"SRC_0038","8","32","PMC10145907","https://doi.org/10.3390/pharmaceutics15041238","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Pulmonary Application of Novel Antigen-Loaded Chitosan Nano-Particles Co-Administered with the Mucosal Adjuvant C-Di-AMP Resulted in Enhanced Immune Stimulation and Dose Sparing Capacity. Thomas Ebensen et al. (2023). Pharmaceutics."
"SRC_0039","18","75","PMC9845529","https://doi.org/10.1093/rb/rbac099","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Inhalable microparticles as drug delivery systems to the lungs in a dry powder formulations. Karolina Knap et al. (2023). Regenerative Biomaterials."
"SRC_0040","1","3","","https://doi.org/10.1016/j.jaerosci.2023.106290","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Preparing dry powder inhalation formulation of salbutamol sulfate using an ultrasonic atomizer device. Shadi Yaqoubi et al. (2024). Journal of Aerosol Science."
"SRC_0041","2","17","","https://doi.org/10.1016/j.ijpharm.2024.123841","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Inhaled dry powder liposomal azithromycin for treatment of chronic lower respiratory tract infection. Yahya H. Dallal Bashi et al. (2024). International Journal of Pharmaceutics."
"SRC_0042","8","28","","https://doi.org/10.1016/j.ejps.2024.106828","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Influence of particle diameter on aerosolization performance and release of budesonide loaded mesoporous silica particles. Irès van der Zwaan et al. (2024). European Journal of Pharmaceutical Sciences."
"SRC_0043","9","24","PMC11268259","https://doi.org/10.1080/10717544.2024.2381340","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Disordered mesoporous silica particles: an emerging platform to deliver proteins to the lungs. Aura Rocío Hernández et al. (2024). Drug Delivery."
"SRC_0044","4","16","PMC10818896","https://doi.org/10.3390/ph17010075","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","A Novel Combined Dry Powder Inhaler Comprising Nanosized Ketoprofen-Embedded Mannitol-Coated Microparticles for Pulmonary Inflammations: Development, In Vitro–In Silico Characterization, and Cell Line Evaluation. Heba Banat et al. (2024). Pharmaceuticals."
"SRC_0045","1","9","PMC11206430","https://doi.org/10.3390/ph17060754","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Design of Experiment (DoE) Approach for Developing Inhalable PLGA Microparticles Loaded with Clofazimine for Tuberculosis Treatment. Druva Sarika Rongala et al. (2024). Pharmaceuticals."
"SRC_0046","2","4","PMC11357607","https://doi.org/10.3390/pharmaceutics16080980","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Dry Powder Inhaler Formulation of Lactobacillus rhamnosus GG Targeting Pseudomonas aeruginosa Infection in Bronchiectasis Maintenance Therapy. The-Thien Tran et al. (2024). Pharmaceutics."
